
 Z=74  Tungsten (W)                    Atomic Weight (nat)=183.850
 Photo-Atomic Cross Sections           (1 cm2/gm=305.2906 barn/atom)
 NP= 332                               Data from EPDL97

Column definitions:
  EMeV   Incident photon energy (MeV)
  XXXba  Cross Section for process XXX, barn/atom
  XXXcg  Cross Section for process XXX, cm2/gm
  XXX    Tot: Total cross section (Coh+Inc+ppT+PE)
          PE: Photo-electric ionization     (W K-edge= 6.9689E-02 MeV)
         Coh: Coherent  (Rayleigh) scattering
         Inc: Incoherent (Compton) scattering
         ppn: Pair production from nucleus
         ppe: Pair production from electrons
         ppT: Total pair prod (=ppn+ppe)

   EMeV       Totba     PEba      Cohba     Incba     ppnba     ppeba     ppTba       Totcg     PEcg      Cohcg     Inccg     ppncg     ppecg     ppTcg
 6.0000E-04 2.719E+06 2.717E+06 1.415E+03 5.738E-01 0.000E+00 0.000E+00 0.000E+00   8.905E+03 8.901E+03 4.635E+00 1.879E-03 0.000E+00 0.000E+00 0.000E+00
 6.5000E-04 2.399E+06 2.398E+06 1.479E+03 6.602E-01 0.000E+00 0.000E+00 0.000E+00   7.860E+03 7.855E+03 4.845E+00 2.163E-03 0.000E+00 0.000E+00 0.000E+00
 7.0000E-04 2.125E+06 2.124E+06 1.521E+03 7.482E-01 0.000E+00 0.000E+00 0.000E+00   6.961E+03 6.956E+03 4.981E+00 2.451E-03 0.000E+00 0.000E+00 0.000E+00
 7.5000E-04 1.891E+06 1.890E+06 1.550E+03 8.406E-01 0.000E+00 0.000E+00 0.000E+00   6.195E+03 6.190E+03 5.077E+00 2.753E-03 0.000E+00 0.000E+00 0.000E+00
 8.0000E-04 1.691E+06 1.689E+06 1.571E+03 9.365E-01 0.000E+00 0.000E+00 0.000E+00   5.538E+03 5.532E+03 5.145E+00 3.068E-03 0.000E+00 0.000E+00 0.000E+00
 8.5000E-04 1.517E+06 1.515E+06 1.584E+03 1.029E+00 0.000E+00 0.000E+00 0.000E+00   4.969E+03 4.964E+03 5.190E+00 3.371E-03 0.000E+00 0.000E+00 0.000E+00
 9.0000E-04 1.367E+06 1.365E+06 1.591E+03 1.125E+00 0.000E+00 0.000E+00 0.000E+00   4.478E+03 4.472E+03 5.211E+00 3.685E-03 0.000E+00 0.000E+00 0.000E+00
 1.0000E-03 1.122E+06 1.121E+06 1.588E+03 1.326E+00 0.000E+00 0.000E+00 0.000E+00   3.676E+03 3.670E+03 5.202E+00 4.343E-03 0.000E+00 0.000E+00 0.000E+00
 1.1000E-03 9.340E+05 9.324E+05 1.561E+03 1.517E+00 0.000E+00 0.000E+00 0.000E+00   3.059E+03 3.054E+03 5.112E+00 4.968E-03 0.000E+00 0.000E+00 0.000E+00
 1.2000E-03 7.869E+05 7.854E+05 1.513E+03 1.714E+00 0.000E+00 0.000E+00 0.000E+00   2.578E+03 2.573E+03 4.956E+00 5.616E-03 0.000E+00 0.000E+00 0.000E+00
 1.3000E-03 6.702E+05 6.687E+05 1.454E+03 1.911E+00 0.000E+00 0.000E+00 0.000E+00   2.195E+03 2.190E+03 4.762E+00 6.258E-03 0.000E+00 0.000E+00 0.000E+00
 1.4000E-03 5.762E+05 5.748E+05 1.374E+03 2.099E+00 0.000E+00 0.000E+00 0.000E+00   1.887E+03 1.883E+03 4.502E+00 6.875E-03 0.000E+00 0.000E+00 0.000E+00
 1.5000E-03 4.995E+05 4.983E+05 1.270E+03 2.291E+00 0.000E+00 0.000E+00 0.000E+00   1.636E+03 1.632E+03 4.159E+00 7.503E-03 0.000E+00 0.000E+00 0.000E+00
 1.6000E-03 4.363E+05 4.352E+05 1.127E+03 2.483E+00 0.000E+00 0.000E+00 0.000E+00   1.429E+03 1.425E+03 3.691E+00 8.135E-03 0.000E+00 0.000E+00 0.000E+00
 1.7000E-03 3.836E+05 3.827E+05 9.126E+02 2.665E+00 0.000E+00 0.000E+00 0.000E+00   1.257E+03 1.254E+03 2.989E+00 8.729E-03 0.000E+00 0.000E+00 0.000E+00
 1.8000E-03 3.391E+05 3.386E+05 4.847E+02 2.848E+00 0.000E+00 0.000E+00 0.000E+00   1.111E+03 1.109E+03 1.588E+00 9.330E-03 0.000E+00 0.000E+00 0.000E+00
 1.8162E-03 3.326E+05 3.321E+05 5.122E+02 2.878E+00 0.000E+00 0.000E+00 0.000E+00   1.089E+03 1.088E+03 1.678E+00 9.427E-03 0.000E+00 0.000E+00 0.000E+00
 1.8162E-03 9.637E+05 9.632E+05 5.122E+02 2.878E+00 0.000E+00 0.000E+00 0.000E+00   3.157E+03 3.155E+03 1.678E+00 9.427E-03 0.000E+00 0.000E+00 0.000E+00
 1.8811E-03 9.145E+05 9.136E+05 9.744E+02 2.998E+00 0.000E+00 0.000E+00 0.000E+00   2.996E+03 2.992E+03 3.192E+00 9.820E-03 0.000E+00 0.000E+00 0.000E+00
 1.8811E-03 1.162E+06 1.161E+06 9.744E+02 2.998E+00 0.000E+00 0.000E+00 0.000E+00   3.805E+03 3.802E+03 3.192E+00 9.820E-03 0.000E+00 0.000E+00 0.000E+00
 1.9000E-03 1.167E+06 1.166E+06 1.129E+03 3.033E+00 0.000E+00 0.000E+00 0.000E+00   3.822E+03 3.818E+03 3.699E+00 9.935E-03 0.000E+00 0.000E+00 0.000E+00
 2.0000E-03 1.163E+06 1.162E+06 1.665E+03 3.219E+00 0.000E+00 0.000E+00 0.000E+00   3.811E+03 3.805E+03 5.454E+00 1.054E-02 0.000E+00 0.000E+00 0.000E+00
 2.2000E-03 9.454E+05 9.435E+05 1.958E+03 3.576E+00 0.000E+00 0.000E+00 0.000E+00   3.097E+03 3.090E+03 6.413E+00 1.171E-02 0.000E+00 0.000E+00 0.000E+00
 2.2712E-03 8.735E+05 8.714E+05 2.018E+03 3.704E+00 0.000E+00 0.000E+00 0.000E+00   2.861E+03 2.854E+03 6.610E+00 1.213E-02 0.000E+00 0.000E+00 0.000E+00
 2.2712E-03 1.009E+06 1.007E+06 2.018E+03 3.704E+00 0.000E+00 0.000E+00 0.000E+00   3.304E+03 3.298E+03 6.610E+00 1.213E-02 0.000E+00 0.000E+00 0.000E+00
 2.4000E-03 8.863E+05 8.840E+05 2.266E+03 3.936E+00 0.000E+00 0.000E+00 0.000E+00   2.903E+03 2.896E+03 7.421E+00 1.289E-02 0.000E+00 0.000E+00 0.000E+00
 2.5678E-03 7.545E+05 7.522E+05 2.328E+03 4.237E+00 0.000E+00 0.000E+00 0.000E+00   2.471E+03 2.464E+03 7.627E+00 1.388E-02 0.000E+00 0.000E+00 0.000E+00
 2.5678E-03 8.001E+05 7.978E+05 2.328E+03 4.237E+00 0.000E+00 0.000E+00 0.000E+00   2.621E+03 2.613E+03 7.627E+00 1.388E-02 0.000E+00 0.000E+00 0.000E+00
 2.6000E-03 7.773E+05 7.749E+05 2.361E+03 4.293E+00 0.000E+00 0.000E+00 0.000E+00   2.546E+03 2.538E+03 7.732E+00 1.406E-02 0.000E+00 0.000E+00 0.000E+00
 2.7965E-03 6.553E+05 6.529E+05 2.437E+03 4.637E+00 0.000E+00 0.000E+00 0.000E+00   2.147E+03 2.139E+03 7.983E+00 1.519E-02 0.000E+00 0.000E+00 0.000E+00
 2.7965E-03 6.833E+05 6.809E+05 2.437E+03 4.637E+00 0.000E+00 0.000E+00 0.000E+00   2.238E+03 2.230E+03 7.983E+00 1.519E-02 0.000E+00 0.000E+00 0.000E+00
 3.0000E-03 5.803E+05 5.778E+05 2.534E+03 4.995E+00 0.000E+00 0.000E+00 0.000E+00   1.901E+03 1.893E+03 8.299E+00 1.636E-02 0.000E+00 0.000E+00 0.000E+00
 3.2000E-03 4.984E+05 4.959E+05 2.542E+03 5.346E+00 0.000E+00 0.000E+00 0.000E+00   1.633E+03 1.624E+03 8.326E+00 1.751E-02 0.000E+00 0.000E+00 0.000E+00
 3.4000E-03 4.317E+05 4.292E+05 2.524E+03 5.685E+00 0.000E+00 0.000E+00 0.000E+00   1.414E+03 1.406E+03 8.267E+00 1.862E-02 0.000E+00 0.000E+00 0.000E+00
 3.6000E-03 3.764E+05 3.739E+05 2.488E+03 6.024E+00 0.000E+00 0.000E+00 0.000E+00   1.233E+03 1.225E+03 8.148E+00 1.973E-02 0.000E+00 0.000E+00 0.000E+00
 3.8000E-03 3.306E+05 3.282E+05 2.448E+03 6.364E+00 0.000E+00 0.000E+00 0.000E+00   1.083E+03 1.075E+03 8.017E+00 2.085E-02 0.000E+00 0.000E+00 0.000E+00
 4.0000E-03 2.919E+05 2.895E+05 2.395E+03 6.702E+00 0.000E+00 0.000E+00 0.000E+00   9.562E+02 9.483E+02 7.845E+00 2.195E-02 0.000E+00 0.000E+00 0.000E+00
 4.2500E-03 2.516E+05 2.492E+05 2.330E+03 7.107E+00 0.000E+00 0.000E+00 0.000E+00   8.240E+02 8.164E+02 7.631E+00 2.328E-02 0.000E+00 0.000E+00 0.000E+00
 4.5000E-03 2.187E+05 2.164E+05 2.263E+03 7.511E+00 0.000E+00 0.000E+00 0.000E+00   7.163E+02 7.089E+02 7.413E+00 2.460E-02 0.000E+00 0.000E+00 0.000E+00
 4.7500E-03 1.916E+05 1.894E+05 2.192E+03 7.914E+00 0.000E+00 0.000E+00 0.000E+00   6.275E+02 6.203E+02 7.181E+00 2.592E-02 0.000E+00 0.000E+00 0.000E+00
 5.0000E-03 1.687E+05 1.666E+05 2.123E+03 8.317E+00 0.000E+00 0.000E+00 0.000E+00   5.526E+02 5.456E+02 6.955E+00 2.724E-02 0.000E+00 0.000E+00 0.000E+00
 5.3333E-03 1.437E+05 1.416E+05 2.031E+03 8.820E+00 0.000E+00 0.000E+00 0.000E+00   4.706E+02 4.639E+02 6.654E+00 2.889E-02 0.000E+00 0.000E+00 0.000E+00
 5.6667E-03 1.235E+05 1.215E+05 1.942E+03 9.320E+00 0.000E+00 0.000E+00 0.000E+00   4.045E+02 3.981E+02 6.362E+00 3.053E-02 0.000E+00 0.000E+00 0.000E+00
 6.0000E-03 1.071E+05 1.052E+05 1.856E+03 9.817E+00 0.000E+00 0.000E+00 0.000E+00   3.508E+02 3.447E+02 6.078E+00 3.216E-02 0.000E+00 0.000E+00 0.000E+00
 6.5000E-03 8.755E+04 8.581E+04 1.734E+03 1.053E+01 0.000E+00 0.000E+00 0.000E+00   2.868E+02 2.811E+02 5.680E+00 3.450E-02 0.000E+00 0.000E+00 0.000E+00
 7.0000E-03 7.263E+04 7.101E+04 1.616E+03 1.120E+01 0.000E+00 0.000E+00 0.000E+00   2.379E+02 2.326E+02 5.294E+00 3.668E-02 0.000E+00 0.000E+00 0.000E+00
 7.5000E-03 6.100E+04 5.948E+04 1.504E+03 1.186E+01 0.000E+00 0.000E+00 0.000E+00   1.998E+02 1.948E+02 4.928E+00 3.884E-02 0.000E+00 0.000E+00 0.000E+00
 8.0000E-03 5.176E+04 5.035E+04 1.398E+03 1.250E+01 0.000E+00 0.000E+00 0.000E+00   1.696E+02 1.649E+02 4.579E+00 4.094E-02 0.000E+00 0.000E+00 0.000E+00
 8.5000E-03 4.436E+04 4.305E+04 1.293E+03 1.307E+01 0.000E+00 0.000E+00 0.000E+00   1.453E+02 1.410E+02 4.235E+00 4.281E-02 0.000E+00 0.000E+00 0.000E+00
 9.0000E-03 3.831E+04 3.711E+04 1.186E+03 1.363E+01 0.000E+00 0.000E+00 0.000E+00   1.255E+02 1.215E+02 3.886E+00 4.466E-02 0.000E+00 0.000E+00 0.000E+00
 1.0000E-02 2.911E+04 2.820E+04 8.923E+02 1.473E+01 0.000E+00 0.000E+00 0.000E+00   9.534E+01 9.237E+01 2.923E+00 4.827E-02 0.000E+00 0.000E+00 0.000E+00
 1.0206E-02 2.756E+04 2.673E+04 8.186E+02 1.494E+01 0.000E+00 0.000E+00 0.000E+00   9.029E+01 8.756E+01 2.681E+00 4.892E-02 0.000E+00 0.000E+00 0.000E+00
